"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016064","immunoglobulin mediated immune response","21/197","156/13842",0.134615384615385,9.45860991800078,12.765949026806,5.77330636396511e-15,6.77964566257277e-12,6.56413061065354e-12,"IGHV1-24/IGLC1/IGKC/IGHV2-5/IGHA1/IGLC3/IGLL5/IGHV7-4-1/IGHV3-11/IGHV1-69D/IGHV3-13/IGHV4-59/IGHV4-28/IGHV3-33/IGHV3-48/IGHV3-53/IGHV3-30/IGHV3-23/IGLC2/IGHV4-61/IGHV1-58",21
"GO:0019724","B cell mediated immunity","21/197","158/13842",0.132911392405063,9.33888067853242,12.6665939197891,7.49960803381943e-15,6.77964566257277e-12,6.56413061065354e-12,"IGHV1-24/IGLC1/IGKC/IGHV2-5/IGHA1/IGLC3/IGLL5/IGHV7-4-1/IGHV3-11/IGHV1-69D/IGHV3-13/IGHV4-59/IGHV4-28/IGHV3-33/IGHV3-48/IGHV3-53/IGHV3-30/IGHV3-23/IGLC2/IGHV4-61/IGHV1-58",21
"GO:0097501","stress response to metal ion","8/197","15/13842",0.533333333333333,37.4741116751269,16.9822976680162,8.62792029372643e-12,4.45018672754509e-09,4.30872177917297e-09,"SLC30A10/MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X",8
"GO:0010273","detoxification of copper ion","7/197","10/13842",0.7,49.1847715736041,18.3145980544588,1.23069323217508e-11,4.45018672754509e-09,4.30872177917297e-09,"MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X",7
"GO:1990169","stress response to copper ion","7/197","10/13842",0.7,49.1847715736041,18.3145980544588,1.23069323217508e-11,4.45018672754509e-09,4.30872177917297e-09,"MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X",7
"GO:0061687","detoxification of inorganic compound","8/197","17/13842",0.470588235294118,33.0653926545237,15.8949267372858,3.1808047906056e-11,9.58482510235821e-09,9.28013748557389e-09,"SLC30A10/MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X",8
"GO:0002449","lymphocyte mediated immunity","22/197","310/13842",0.0709677419354839,4.98647453741608,8.52940868907126,5.54970534676728e-10,1.43340960956503e-07,1.38784360777052e-07,"IGHV1-24/SECTM1/IGLC1/IGKC/IGHV2-5/IGHA1/IGLC3/IGLL5/IGHV7-4-1/IGHV3-11/IGHV1-69D/IGHV3-13/IGHV4-59/IGHV4-28/IGHV3-33/IGHV3-48/IGHV3-53/IGHV3-30/IGHV3-23/IGLC2/IGHV4-61/IGHV1-58",22
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","22/197","329/13842",0.0668693009118541,4.69850184376591,8.15789248868845,1.69970707094759e-09,3.6819321301158e-07,3.5648888753974e-07,"IGHV1-24/SECTM1/IGLC1/IGKC/IGHV2-5/IGHA1/IGLC3/IGLL5/IGHV7-4-1/IGHV3-11/IGHV1-69D/IGHV3-13/IGHV4-59/IGHV4-28/IGHV3-33/IGHV3-48/IGHV3-53/IGHV3-30/IGHV3-23/IGLC2/IGHV4-61/IGHV1-58",22
"GO:0071276","cellular response to cadmium ion","7/197","17/13842",0.411764705882353,28.9322185727083,13.8460979600827,1.8328201975134e-09,3.6819321301158e-07,3.5648888753974e-07,"MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X",7
"GO:0002443","leukocyte mediated immunity","24/197","399/13842",0.0601503759398496,4.22640357238273,7.85754932235545,2.45499836121621e-09,4.4386370370789e-07,4.297539236529e-07,"IGHV1-24/SECTM1/IGLC1/IGKC/IGHV2-5/IGHA1/IGLC3/IGLL5/IGHV7-4-1/SCNN1B/IGHV3-11/IGHV1-69D/IGHV3-13/IGHV4-59/IGHV4-28/IGHV3-33/IGHV3-48/IGHV3-53/IGHV3-30/DAO/IGHV3-23/IGLC2/IGHV4-61/IGHV1-58",24
"GO:0071280","cellular response to copper ion","7/197","18/13842",0.388888888888889,27.3248730964467,13.428136696596,2.96316775378018e-09,4.46450608236214e-07,4.32258594257583e-07,"MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X",7
"GO:0071294","cellular response to zinc ion","7/197","18/13842",0.388888888888889,27.3248730964467,13.428136696596,2.96316775378018e-09,4.46450608236214e-07,4.32258594257583e-07,"MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X",7
"GO:0006882","intracellular zinc ion homeostasis","8/197","28/13842",0.285714285714286,20.075416968818,12.1401319534063,3.55592622095208e-09,4.94547277498566e-07,4.78826340521725e-07,"SLC30A10/MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X",8
"GO:0015698","inorganic anion transport","13/197","122/13842",0.10655737704918,7.48714321378048,8.64741740962868,1.86839248816586e-08,2.4128954418599e-06,2.33619301339836e-06,"SLC26A3/CA2/SLC4A4/SLC17A4/CLCA1/SLC26A2/CLCA2/BEST4/SLC17A8/FXYD1/ANO5/PRKG2/CA7",13
"GO:0006821","chloride transport","11/197","90/13842",0.122222222222222,8.58781725888325,8.67731300188515,5.73050553192661e-08,6.90716933448221e-06,6.68760049094313e-06,"SLC26A3/CA2/CLCA1/SLC26A2/CLCA2/BEST4/SLC17A8/FXYD1/ANO5/PRKG2/CA7",11
"GO:0010043","response to zinc ion","8/197","41/13842",0.195121951219512,13.7100408567537,9.79295309602852,9.32965059896198e-08,1.0542505176827e-05,1.02073743066275e-05,"SLC30A10/MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X",8
"GO:0046688","response to copper ion","7/197","30/13842",0.233333333333333,16.394923857868,10.1423820351746,1.64010260463852e-07,1.74429735834497e-05,1.68884868824388e-05,"MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X",7
"GO:0006820","monoatomic anion transport","12/197","128/13842",0.09375,6.5872461928934,7.63046136803844,2.77090229185138e-07,2.78321741314849e-05,2.69474298909289e-05,"SLC26A3/CA2/SLC4A4/CLCA1/SLC26A2/CLCA2/BEST4/SLC17A8/FXYD1/ANO5/PRKG2/CA7",12
"GO:0046686","response to cadmium ion","7/197","36/13842",0.194444444444444,13.6624365482234,9.14038892386165,6.25616773637238e-07,5.95323750913751e-05,5.76399276763837e-05,"MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X",7
"GO:1902476","chloride transmembrane transport","8/197","75/13842",0.106666666666667,7.49482233502538,6.7765450275706,1.08955154359573e-05,0.000984954595410544,0.000953644324736687,"SLC26A3/CLCA1/SLC26A2/CLCA2/BEST4/SLC17A8/FXYD1/ANO5",8
"GO:0030003","intracellular monoatomic cation homeostasis","19/197","438/13842",0.04337899543379,3.04797997357625,5.23329996529725,1.60087744171297e-05,0.00137827924505574,0.00133446575717728,"SLC26A3/SLC30A10/CA2/MT1M/SLC4A4/MT1E/SCARA5/MT1F/GPER1/CP/EDN3/MT2A/MT1H/EDN2/SCNN1B/MT1G/P2RY1/MT1X/CA7",19
"GO:0098754","detoxification","10/197","131/13842",0.0763358778625954,5.36366102220328,6.02951203261487,1.7588725001952e-05,0.00144547340016042,0.00139952390805005,"SLC30A10/MT1M/AKR1B10/MT1E/MT1F/CP/MT2A/MT1H/MT1G/MT1X",10
"GO:0098656","monoatomic anion transmembrane transport","9/197","106/13842",0.0849056603773585,5.96580787280912,6.16655744619169,1.9936566496184e-05,0.00150337086352248,0.00145558089545755,"SLC26A3/SLC4A4/CLCA1/SLC26A2/CLCA2/BEST4/SLC17A8/FXYD1/ANO5",9
"GO:0006873","intracellular monoatomic ion homeostasis","19/197","445/13842",0.0426966292134831,3.00003422118291,5.15280527618766,1.9956250400741e-05,0.00150337086352248,0.00145558089545755,"SLC26A3/SLC30A10/CA2/MT1M/SLC4A4/MT1E/SCARA5/MT1F/GPER1/CP/EDN3/MT2A/MT1H/EDN2/SCNN1B/MT1G/P2RY1/MT1X/CA7",19
"GO:0098661","inorganic anion transmembrane transport","8/197","90/13842",0.0888888888888889,6.24568527918782,5.99888630997332,4.17353910813054e-05,0.00301830348300001,0.00292235601550362,"SLC26A3/CLCA1/SLC26A2/CLCA2/BEST4/SLC17A8/FXYD1/ANO5",8
"GO:0098771","inorganic ion homeostasis","17/197","441/13842",0.0385487528344671,2.70858800372941,4.38145263643906,0.000191235627726001,0.0132982313434081,0.0128754999558032,"SLC30A10/MT1M/MT1E/SCARA5/MT1F/GPER1/CP/EDN3/MT2A/MT1H/EDN2/SCNN1B/SLC17A8/MT1G/P2RY1/CA12/MT1X",17
"GO:0009312","oligosaccharide biosynthetic process","4/197","23/13842",0.173913043478261,12.2198190244979,6.47055508534763,0.000285038578012016,0.0190870277424343,0.0184802789564906,"B3GALT1/B3GALT5/ST6GALNAC6/B4GALNT2",4
"GO:0042445","hormone metabolic process","10/197","184/13842",0.0543478260869565,3.81869344515559,4.62480344903214,0.000304228207403163,0.0196444499637471,0.0190199815380248,"AKR1B10/HSD17B2/SCNN1B/ANPEP/UGT1A8/CYP3A4/HSD3B2/ADH1B/GCNT4/SULT1B1",10
"GO:0009636","response to toxic substance","11/197","223/13842",0.0493273542600897,3.46593521658965,4.46058235306338,0.000352871838483285,0.0219997339302683,0.0213003944608967,"SLC30A10/MT1M/AKR1B10/MT1E/MT1F/CP/MT2A/MT1H/MT1G/MT1X/SCN9A",11
"GO:0071248","cellular response to metal ion","9/197","157/13842",0.0573248407643312,4.02787028355265,4.58452946626887,0.000412262720902028,0.0248456999796956,0.0240558913985991,"MT1M/MT1E/MT1F/MT2A/MT1H/MT1G/MT1X/FOSB/CHP2",9
"GO:0015701","bicarbonate transport","4/197","26/13842",0.153846153846154,10.8098399062866,6.01571854621599,0.000465437710901188,0.0271455284293338,0.0262826116546239,"SLC26A3/SLC4A4/CA4/BEST4",4
"GO:0010817","regulation of hormone levels","16/197","445/13842",0.0359550561797753,2.52634460731193,3.9324109870409,0.000634118273398886,0.0358276824470371,0.0346887726533667,"SLC17A4/AKR1B10/GPER1/HSD17B2/EDN3/SCNN1B/ANPEP/UGT1A8/P2RY1/CYP3A4/HSD3B2/ADH1B/ADCY5/GCNT4/GCG/SULT1B1",16
"GO:0034310","primary alcohol catabolic process","3/197","13/13842",0.230769230769231,16.2147598594299,6.59434200452373,0.000730893785121033,0.0400441201060251,0.0387711759061014,"AKR1B10/SULT1A2/SULT1B1",3
"GO:0009311","oligosaccharide metabolic process","5/197","52/13842",0.0961538461538462,6.75614994142913,4.9966820412873,0.000838309243077363,0.0445783268083492,0.0431612467875435,"B3GALT1/B3GALT5/ST6GALNAC6/NEU4/B4GALNT2",5
